Peak Performance (Mega AutoCors Per Second)
42119.086257
Shift,Sum
0,1148676.250000
1,53185.097656
2,67181.570312
3,52135.953125
4,45437.371094
5,53552.269531
6,69232.039062
7,60377.933594
8,52751.640625
9,64942.863281
10,57681.617188
11,55733.605469
12,64919.984375
13,55214.121094
14,66260.117188
15,53664.203125
16,61101.031250
17,60268.398438
18,56868.546875
19,58167.164062
20,48982.269531
21,50313.117188
22,51926.378906
23,55920.914062
24,40470.523438
25,45473.609375
26,41750.402344
27,48448.523438
28,34757.078125
29,56272.406250
30,40708.730469
31,28854.835938
32,30106.697266
33,29928.175781
34,39107.160156
35,29363.527344
36,20468.742188
37,39045.035156
38,21845.316406
39,21911.533203
40,23962.375000
41,22824.955078
42,24288.287109
43,24260.218750
44,19128.330078
45,11907.774414
46,18085.781250
47,13963.754883
48,23184.673828
49,15028.028320
50,22688.097656
51,881.545166
52,6230.133301
53,-1860.706055
54,2759.426758
55,-1197.393677
56,-11174.793945
57,-11476.466797
58,-512.818420
59,-19492.830078
60,-6232.019531
61,-12365.055664
62,-12251.158203
63,-19695.013672
64,-13457.501953
65,-23919.273438
66,-24459.763672
67,-27000.949219
68,-27252.964844
69,-19609.052734
70,-15920.121094
71,-28997.906250
72,-25466.828125
73,-19769.537109
74,-34929.941406
75,-31570.349609
76,-41675.386719
77,-43563.941406
78,-38439.011719
79,-34191.902344
80,-47888.335938
81,-49453.601562
82,-34976.679688
83,-54747.492188
84,-55944.722656
85,-51535.996094
86,-43619.347656
87,-40174.535156
88,-52694.484375
89,-46674.214844
90,-56267.160156
91,-47637.375000
92,-52278.031250
93,-55383.347656
94,-52627.933594
95,-48374.832031
96,-60636.113281
97,-50312.316406
98,-48890.582031
99,-51302.605469
100,-50812.113281
101,-55483.449219
102,-64674.324219
103,-53008.339844
104,-57851.453125
105,-54828.773438
106,-55817.222656
107,-65209.800781
108,-64544.390625
109,-65559.937500
110,-68940.046875
111,-59783.511719
112,-53604.386719
113,-55936.140625
114,-64161.804688
115,-51322.968750
116,-65025.093750
117,-58155.890625
118,-52956.105469
119,-49942.195312
120,-60890.023438
121,-60276.343750
122,-52030.539062
123,-48117.460938
124,-61966.476562
125,-54262.191406
126,-63243.488281
127,-55297.777344
128,-42025.777344
129,-47397.347656
130,-40284.992188
131,-53048.871094
132,-54167.691406
133,-46036.375000
134,-44353.578125
135,-45391.835938
136,-48665.750000
137,-39379.453125
138,-44628.242188
139,-34752.453125
140,-37701.859375
141,-27355.443359
142,-31369.123047
143,-39549.468750
144,-26604.089844
145,-31523.539062
146,-21174.265625
147,-23891.841797
148,-17154.000000
149,-22705.599609
150,-19139.212891
151,-25712.859375
152,-20691.416016
153,-21063.105469
154,-16031.659180
155,-14620.268555
156,-4356.942383
157,-6778.951660
158,-10001.459961
159,-10610.929688
160,-10267.423828
161,-4675.115234
162,-2385.877686
163,3168.534424
164,2149.125488
165,5635.652832
166,10979.300781
167,14767.569336
168,7226.926270
169,14871.165039
170,8183.058594
171,19609.380859
172,18819.857422
173,19787.353516
174,18930.896484
175,21981.939453
176,23160.339844
177,34171.378906
178,23794.107422
179,19260.714844
180,29954.839844
181,32724.378906
182,26273.914062
183,31810.591797
184,42675.238281
185,29118.074219
186,25288.337891
187,37004.472656
188,44856.578125
189,40176.941406
190,43398.445312
191,47673.113281
192,54446.867188
193,46278.003906
194,49043.292969
195,56294.218750
196,58932.050781
197,54608.250000
198,52655.457031
199,60336.078125
200,47618.085938
201,53655.156250
202,54660.000000
203,53922.621094
204,60972.574219
205,61652.734375
206,58885.500000
207,55907.359375
208,57471.714844
209,51890.433594
210,64270.281250
211,72292.906250
212,60496.011719
213,61602.343750
214,58203.289062
215,57865.429688
216,66377.304688
217,59253.906250
218,63996.937500
219,62672.847656
220,57956.863281
221,58895.996094
222,63026.734375
223,67041.671875
224,54651.003906
225,61100.996094
226,63760.085938
227,65798.109375
228,56985.277344
229,62332.625000
230,51295.179688
231,58206.886719
232,54960.734375
233,53004.660156
234,44976.609375
235,53701.152344
236,48998.097656
237,43633.257812
238,48177.210938
239,41336.328125
240,50242.871094
241,38610.742188
242,44807.929688
243,44586.433594
244,45509.554688
245,42944.308594
246,43903.882812
247,42870.996094
248,35322.980469
249,36393.535156
250,27791.208984
251,28859.572266
252,16264.633789
253,22110.144531
254,31025.056641
255,26876.687500
256,22411.552734
257,22982.378906
258,7546.007324
259,14096.122070
260,14924.035156
261,13150.794922
262,18505.371094
263,17056.775391
264,13012.717773
265,1426.497559
266,1597.234619
267,742.157532
268,5387.389648
269,6618.891113
270,-8803.587891
271,-4525.660156
272,-6399.772949
273,2162.838379
274,-3805.868896
275,-8148.517578
276,-7133.980469
277,-5649.054688
278,-10966.736328
279,-24148.513672
280,-27785.380859
281,-15369.562500
282,-20488.753906
283,-20540.076172
284,-29086.457031
285,-23453.017578
286,-23498.710938
287,-26399.810547
288,-21386.037109
289,-40529.484375
290,-33203.855469
291,-31438.640625
292,-31854.255859
293,-38365.757812
294,-37496.128906
295,-38372.898438
296,-47440.789062
297,-34003.867188
298,-38368.914062
299,-52490.121094
300,-38654.199219
301,-55324.687500
302,-54117.363281
303,-45587.851562
304,-51095.722656
305,-54086.113281
306,-41348.785156
307,-55937.738281
308,-50944.875000
309,-61723.750000
310,-50600.585938
311,-53230.937500
312,-55634.789062
313,-55846.515625
314,-73190.195312
315,-59504.406250
316,-71347.625000
317,-52991.890625
318,-63681.027344
319,-54895.464844
320,-51697.097656
321,-60195.089844
322,-64592.636719
323,-66194.843750
324,-58887.785156
325,-68708.375000
326,-57187.082031
327,-60614.558594
328,-60443.261719
329,-62311.957031
330,-62396.617188
331,-60009.703125
332,-56077.300781
333,-50669.078125
334,-56312.593750
335,-60669.863281
336,-53610.875000
337,-52355.800781
338,-58132.757812
339,-50641.300781
340,-55894.183594
341,-54784.867188
342,-57650.367188
