Threads,Peak Performance (Mega AutoCors Per Second),Average Performance (Mega AutoCors Per Second)
8,2476.644029,2211.085635
Shift,Sum
0,1074569344.000000
1,451743.625000
2,16377.098633
3,183895.187500
4,-85338.273438
5,518317.312500
6,-489273.437500
7,455001.812500
8,160257.453125
9,326495.937500
10,-15737.813477
11,421841.781250
12,-447697.218750
13,-36230.812500
14,-192671.312500
15,87422.585938
16,263985.312500
17,171379.296875
18,195840.171875
19,512772.531250
20,331512.375000
21,254836.359375
22,138455.375000
23,-54862.289062
24,124377.382812
25,298177.656250
26,76819.781250
27,-51190.898438
28,92442.820312
29,49389.320312
30,278335.781250
31,450027.468750
32,-345834.812500
33,557952.000000
34,217082.671875
35,230936.562500
36,-205031.046875
37,275688.687500
38,-221352.734375
39,9785.200195
40,246186.062500
41,10697.720703
42,-353619.812500
43,614560.187500
44,-352552.843750
45,-29717.701172
46,649681.500000
47,-226612.937500
48,-420932.343750
49,512899.000000
50,523837.437500
51,328642.406250
52,357591.937500
53,-150992.109375
54,67656.039062
55,117124.375000
56,91741.851562
57,498849.406250
58,165989.093750
59,320395.562500
60,-64572.957031
61,619885.062500
62,292894.343750
63,-348767.468750
64,-45905.156250
65,-44240.347656
66,-322393.906250
67,246680.953125
68,185791.500000
69,82324.890625
70,111578.710938
71,135537.109375
72,61718.558594
73,18250.876953
74,-36897.503906
75,96912.078125
76,201195.468750
77,-24881.521484
78,37273.894531
79,229327.937500
80,-402199.468750
81,647035.750000
82,-256870.953125
83,534567.187500
84,249856.296875
85,-174447.156250
86,454249.000000
87,-234209.625000
88,-45483.484375
89,-181383.359375
90,137111.890625
91,29714.691406
92,508195.093750
93,-201564.812500
94,180738.250000
95,87318.484375
96,64569.007812
97,186003.312500
98,182508.328125
99,-391520.000000
100,344796.312500
101,428947.468750
102,-172835.593750
103,438634.000000
104,420678.656250
105,377488.625000
106,-63027.929688
107,44262.429688
108,331063.312500
109,-357269.281250
110,471865.531250
111,247328.234375
112,-262060.234375
113,-133615.203125
114,-27125.933594
115,205969.906250
116,-346572.062500
117,-302338.000000
118,-278784.500000
119,140159.140625
120,-438144.250000
121,-50115.632812
122,19749.199219
123,-100231.390625
124,-32468.822266
125,-447575.343750
126,-486711.062500
127,230509.781250
128,391927.906250
129,174823.218750
130,222579.515625
131,-344427.531250
132,205091.375000
133,-137481.609375
134,380097.812500
135,-97177.710938
136,226653.421875
137,565013.500000
138,-121324.312500
139,-266807.593750
140,-163561.015625
141,-656000.875000
142,-54312.734375
143,-6117.542480
144,7810.670898
145,55005.789062
146,114519.976562
147,-296916.843750
148,178192.250000
149,314890.031250
150,-392786.281250
151,-72582.843750
152,133028.375000
153,60877.605469
154,-197283.046875
155,183347.421875
156,-199374.750000
157,-73642.250000
158,-94889.132812
159,-47976.800781
160,-688404.750000
161,-429453.750000
162,313903.375000
163,-142357.312500
164,-205650.390625
165,-420454.937500
166,-115208.601562
167,200280.093750
168,-275631.218750
169,51907.859375
170,160263.859375
171,-287830.781250
172,-160137.828125
173,67968.609375
174,-331445.968750
175,-353961.718750
176,-178412.109375
177,-114631.335938
178,-356735.031250
179,-554978.125000
180,123366.429688
181,-90514.054688
182,-127118.320312
183,-202867.125000
184,-410945.812500
185,-81009.593750
186,150492.875000
187,-186528.734375
188,-569041.312500
189,271248.593750
190,-396456.187500
191,371828.906250
192,-135327.593750
193,-50742.003906
194,-350169.843750
195,243118.218750
196,351295.843750
197,71651.937500
198,363698.656250
199,283542.562500
200,-267688.125000
201,-439625.312500
202,-230819.343750
203,-148633.671875
204,107842.492188
205,-460471.343750
206,203100.703125
207,-57825.460938
208,-155245.390625
209,526816.625000
210,32477.603516
211,-183689.218750
212,-237439.281250
213,-69830.859375
214,242733.406250
215,316468.750000
216,359725.593750
217,-84960.835938
218,-266714.000000
219,-386033.187500
220,251008.015625
221,-91547.000000
222,-542349.312500
223,-78484.445312
224,332593.843750
225,196466.640625
226,-44073.187500
227,147080.843750
228,-223579.015625
229,-188404.640625
230,521631.781250
231,386624.093750
232,396812.187500
233,-218053.531250
234,247857.859375
235,-13162.361328
236,345950.343750
237,-33062.328125
238,61286.023438
239,294039.531250
240,34182.746094
241,-93804.406250
242,17275.978516
243,-258592.921875
244,-59373.101562
245,-185505.296875
246,368714.750000
247,69745.015625
248,265084.125000
249,369071.062500
250,365712.531250
251,350064.625000
252,-340667.281250
253,56524.902344
254,-391787.875000
255,271387.093750
256,371150.281250
257,-186456.921875
258,-372329.500000
259,174043.484375
260,571464.125000
261,-147123.765625
262,-302044.937500
263,69169.398438
264,491871.843750
265,47313.500000
266,-124262.992188
267,-110368.375000
268,263663.656250
269,319630.906250
270,-289039.281250
271,94786.687500
272,-344648.968750
273,-177450.703125
274,332805.031250
275,205550.984375
276,181329.218750
277,304741.937500
278,-107984.570312
279,220034.078125
280,397320.968750
281,-349685.531250
282,26707.587891
283,206598.578125
284,-321777.406250
285,7684.457031
286,210851.406250
287,-143737.953125
288,249344.765625
289,286248.343750
290,-218061.421875
291,334015.281250
292,647923.125000
293,645018.437500
294,486265.468750
295,202531.500000
296,138728.078125
297,-244752.390625
298,214008.265625
299,53048.960938
300,230110.156250
301,172140.015625
302,-326158.781250
303,70767.414062
304,12160.802734
305,112088.906250
306,-232761.265625
307,211188.640625
308,60166.343750
309,195569.078125
310,-165645.593750
311,81806.789062
312,-50063.781250
313,100167.742188
314,-60407.496094
315,-1162.846436
316,-309628.937500
317,-281113.968750
318,-505504.843750
319,-245650.796875
320,278359.656250
321,558289.562500
322,167133.734375
323,-40301.609375
324,-87730.976562
325,27324.580078
326,-320051.656250
327,-238917.359375
328,195539.875000
329,245455.296875
330,228655.265625
331,-296330.468750
332,8819.144531
333,-92295.054688
334,-155951.000000
335,-322549.812500
336,470806.843750
337,87597.218750
338,-241351.125000
339,152898.031250
340,-147995.109375
341,-299622.562500
342,-69449.375000
343,243527.593750
344,75218.820312
345,186768.109375
346,165654.484375
347,-36362.308594
348,-132688.343750
349,-131750.656250
350,356200.593750
351,-220162.015625
352,185524.328125
353,224044.578125
354,3610.237549
355,474624.218750
356,-342052.156250
357,-137083.968750
358,-6223.793457
359,376486.250000
360,-430506.406250
361,-284501.468750
362,298130.593750
363,54972.269531
364,-559476.375000
365,-160911.031250
366,-506403.750000
367,-242674.484375
368,-219072.312500
369,334594.781250
370,-119469.156250
371,-237392.500000
372,-122500.398438
373,-331029.093750
374,-12432.482422
375,89532.976562
376,-625539.000000
377,-295520.531250
378,13423.317383
379,357531.687500
380,299844.156250
381,-141129.734375
382,-236198.640625
383,441821.250000
384,363400.968750
385,-421367.375000
386,439290.656250
387,-50523.812500
388,-125530.203125
389,-1031.079102
390,210766.093750
391,-237062.984375
392,405794.250000
393,-431022.406250
394,84175.625000
395,364886.593750
396,254438.156250
397,362153.906250
398,-143192.625000
399,-208693.593750
400,-60535.277344
401,166809.765625
402,265046.375000
403,105246.968750
404,-241037.578125
405,-399015.156250
406,-257223.218750
407,-440309.687500
408,-326350.500000
409,-254639.765625
410,137186.390625
411,-599772.687500
412,-191400.609375
413,326045.843750
414,-68000.726562
415,-451782.093750
416,-130828.476562
417,172945.406250
418,-10690.675781
419,-234844.515625
420,-188884.812500
421,270242.687500
422,-286358.937500
